carat,cut,cut_ord,color,clarity,clarity_ord,price
1.11,Ideal,5,F,SI1,3,6512
0.39,Ideal,5,G,IF,8,1154
0.53,Ideal,5,F,VVS2,6,2045
1.7,Good,2,F,VS2,5,17597
0.33,Ideal,5,F,VVS1,7,955
1.01,Very Good,3,I,SI2,2,3309
0.77,Premium,4,E,VS2,5,3234
0.79,Premium,4,D,SI2,2,2853
0.32,Ideal,5,D,SI1,3,756
0.75,Very Good,3,E,VS2,5,3817
0.28,Ideal,5,G,VVS2,6,586
0.96,Fair,1,F,SI2,2,2867
0.57,Ideal,5,H,SI1,3,1292
0.7,Good,2,H,SI1,3,1840
1.29,Premium,4,I,VS2,5,6321
0.62,Very Good,3,G,VS1,4,2161
2.01,Premium,4,E,SI2,2,17179
0.54,Ideal,5,G,VS1,4,1754
0.62,Very Good,3,E,SI2,2,1426
1.12,Ideal,5,G,SI2,2,4955
1.02,Very Good,3,H,SI1,3,4727
1.35,Ideal,5,G,IF,8,14616
1.57,Premium,4,D,SI1,3,11976
0.63,Premium,4,E,VVS2,6,2789
0.28,Ideal,5,H,VVS2,6,514
1.11,Ideal,5,E,SI2,2,5962
0.72,Premium,4,H,SI1,3,2311
1.28,Very Good,3,J,SI1,3,4967
0.32,Ideal,5,E,VVS1,7,917
0.41,Ideal,5,E,VVS2,6,1187
0.42,Premium,4,F,SI1,3,966
1.03,Ideal,5,G,SI1,3,4764
1.01,Fair,1,D,SI1,3,4751
1.21,Very Good,3,H,SI2,2,5989
0.92,Very Good,3,E,SI1,3,3586
1.08,Premium,4,F,VS2,5,7079
1.11,Ideal,5,E,VS2,5,8698
0.83,Premium,4,J,SI2,2,2241
2.26,Ideal,5,I,SI1,3,16904
1.0,Very Good,3,F,IF,8,9248
1.54,Premium,4,E,VS2,5,15178
0.32,Good,2,H,VVS2,6,645
0.31,Ideal,5,J,SI1,3,418
0.72,Ideal,5,D,SI1,3,2757
1.07,Very Good,3,G,VS1,4,6998
0.53,Ideal,5,D,VS2,5,1585
1.24,Ideal,5,H,VS2,5,7701
0.3,Ideal,5,H,VS2,5,491
1.51,Premium,4,G,SI1,3,7577
1.53,Premium,4,F,SI1,3,11820
0.35,Ideal,5,G,VVS2,6,1024
0.71,Ideal,5,D,SI2,2,2633
0.33,Ideal,5,H,VS1,4,579
0.48,Ideal,5,H,VVS2,6,1590
0.7,Fair,1,H,I1,1,1138
0.71,Ideal,5,D,VS2,5,3135
0.7,Ideal,5,G,VS1,4,2512
1.73,Very Good,3,I,VS1,4,11843
0.37,Ideal,5,H,IF,8,936
1.21,Ideal,5,F,VS2,5,8691
0.53,Ideal,5,G,VS1,4,1721
0.7,Ideal,5,E,VS1,4,3016
1.04,Premium,4,H,SI1,3,4890
1.05,Very Good,3,E,SI2,2,3816
0.3,Ideal,5,E,VVS1,7,862
1.2,Premium,4,F,VS2,5,9442
0.71,Fair,1,D,SI2,2,2198
0.5,Fair,1,D,VVS1,7,1792
0.37,Ideal,5,E,VS2,5,768
0.51,Very Good,3,G,VVS1,7,1871
1.01,Premium,4,D,SI1,3,5147
1.83,Ideal,5,E,SI2,2,13254
0.51,Premium,4,E,VVS1,7,2323
0.32,Ideal,5,E,VS1,4,825
1.14,Very Good,3,F,SI1,3,6194
0.52,Ideal,5,D,VS2,5,1677
0.42,Ideal,5,E,SI2,2,898
0.33,Ideal,5,G,IF,8,984
1.01,Very Good,3,F,SI2,2,4004
0.7,Premium,4,G,SI1,3,2352
0.54,Ideal,5,I,VVS1,7,1564
0.61,Very Good,3,D,VVS2,6,2763
1.2,Premium,4,H,VS2,5,6547
0.54,Ideal,5,H,SI1,3,1147
0.41,Premium,4,G,VS2,5,1061
0.44,Ideal,5,I,VS1,4,1245
0.74,Premium,4,E,VS1,4,3357
2.01,Very Good,3,I,VS2,5,15965
0.57,Ideal,5,G,VS1,4,1851
0.34,Ideal,5,E,VS2,5,745
0.57,Ideal,5,E,VVS2,6,2719
1.52,Ideal,5,H,VS2,5,11272
0.7,Ideal,5,E,SI1,3,2677
0.31,Ideal,5,H,VVS1,7,671
1.01,Premium,4,F,VS1,4,7127
0.53,Ideal,5,F,SI1,3,1284
0.7,Ideal,5,G,VS1,4,2437
0.57,Ideal,5,H,SI1,3,1292
0.31,Good,2,E,SI1,3,544
1.0,Very Good,3,D,SI2,2,3304
0.73,Premium,4,F,SI1,3,2346
1.09,Very Good,3,D,SI2,2,4244
0.72,Premium,4,E,SI1,3,2857
0.8,Ideal,5,F,VS2,5,4043
0.33,Very Good,3,I,VS1,4,668
0.5,Ideal,5,E,VS2,5,1624
0.74,Fair,1,E,I1,1,1865
0.38,Ideal,5,D,VVS2,6,1257
0.77,Very Good,3,J,SI1,3,1807
0.72,Ideal,5,E,VS2,5,3145
1.17,Ideal,5,F,VS1,4,8806
0.3,Ideal,5,H,VS1,4,545
0.3,Ideal,5,H,IF,8,1013
1.42,Premium,4,G,VS1,4,11861
0.91,Ideal,5,D,VS1,4,6652
1.6,Ideal,5,I,SI1,3,9376
0.74,Ideal,5,D,VS1,4,3812
0.55,Premium,4,H,SI2,2,1011
0.38,Ideal,5,E,SI1,3,694
0.9,Premium,4,I,SI1,3,2861
1.02,Ideal,5,E,SI2,2,4912
2.02,Very Good,3,G,SI2,2,13554
0.3,Ideal,5,E,VS2,5,844
0.42,Ideal,5,F,VVS2,6,1142
0.43,Very Good,3,D,SI1,3,760
0.39,Very Good,3,F,VS1,4,1000
1.21,Premium,4,I,SI2,2,4337
0.73,Ideal,5,E,SI1,3,2581
1.77,Very Good,3,J,SI2,2,8257
0.54,Ideal,5,H,VVS2,6,1639
0.53,Ideal,5,D,VS1,4,2340
0.26,Very Good,3,F,VVS2,6,554
0.32,Ideal,5,D,VVS1,7,1067
0.32,Good,2,H,SI1,3,461
0.58,Very Good,3,E,VS1,4,2082
1.01,Ideal,5,G,VS2,5,6826
0.3,Premium,4,F,VVS1,7,868
0.56,Ideal,5,G,VS2,5,1580
0.5,Ideal,5,G,VVS2,6,1935
1.11,Ideal,5,G,VS1,4,7758
0.55,Very Good,3,F,VS2,5,1692
1.01,Good,2,H,VS1,4,5515
1.52,Ideal,5,G,VS2,5,12958
0.39,Very Good,3,G,SI1,3,709
0.51,Ideal,5,D,VVS2,6,2742
1.37,Premium,4,J,VVS2,6,7319
0.38,Good,2,D,VS2,5,809
1.07,Ideal,5,H,SI1,3,5220
0.51,Ideal,5,D,SI1,3,1569
0.9,Good,2,E,VS1,4,5068
0.61,Ideal,5,H,VS1,4,1706
1.01,Fair,1,E,SI1,3,4106
2.0,Premium,4,I,VS2,5,16068
0.34,Ideal,5,H,VS2,5,555
0.31,Ideal,5,D,VS1,4,877
0.39,Ideal,5,G,VVS1,7,1004
0.56,Ideal,5,D,SI1,3,1677
0.55,Ideal,5,F,SI2,2,1313
0.53,Ideal,5,G,VVS2,6,1893
0.3,Ideal,5,E,VS2,5,844
1.2,Very Good,3,G,IF,8,10497
0.7,Premium,4,D,VS2,5,2773
0.7,Good,2,I,VS1,4,2390
0.5,Premium,4,E,VS1,4,1675
0.83,Good,2,G,SI2,2,2614
0.3,Premium,4,I,VS1,4,608
0.7,Good,2,E,VS1,4,3018
0.51,Premium,4,D,VS2,5,1882
0.9,Very Good,3,I,VS2,5,3382
0.9,Fair,1,E,SI2,2,3187
0.7,Very Good,3,E,VS1,4,3145
0.3,Ideal,5,E,VVS2,6,766
2.0,Very Good,3,H,SI1,3,16092
1.2,Very Good,3,H,SI1,3,4603
0.38,Good,2,I,SI1,3,529
0.8,Good,2,G,SI2,2,2484
1.58,Premium,4,G,VS2,5,11786
1.04,Ideal,5,G,VS2,5,6177
1.0,Premium,4,G,VS2,5,5806
1.0,Premium,4,F,VVS1,7,9901
0.96,Fair,1,J,I1,1,2304
1.59,Premium,4,E,VS2,5,15249
0.7,Ideal,5,F,VS2,5,2676
0.4,Premium,4,D,VVS2,6,1323
0.41,Ideal,5,H,SI1,3,683
0.96,Premium,4,G,SI2,2,3215
0.51,Ideal,5,E,SI1,3,1438
0.27,Ideal,5,H,VS1,4,480
0.9,Good,2,E,SI1,3,3800
1.03,Good,2,D,SI2,2,4177
1.05,Premium,4,H,SI1,3,4692
0.33,Ideal,5,E,VS1,4,1002
0.41,Premium,4,D,SI1,3,791
1.0,Premium,4,F,VVS2,6,8448
0.9,Good,2,H,SI1,3,3484
0.38,Ideal,5,D,VS1,4,1140
0.31,Good,2,D,SI2,2,462
1.02,Very Good,3,F,SI2,2,4162
1.23,Ideal,5,I,SI1,3,5600
2.01,Premium,4,J,SI2,2,12407
0.3,Ideal,5,E,VS2,5,844
0.32,Very Good,3,F,VS1,4,696
1.16,Ideal,5,G,IF,8,10082
0.51,Premium,4,J,VS2,5,1080
0.34,Ideal,5,H,VS2,5,537
0.42,Very Good,3,F,SI1,3,773
0.93,Ideal,5,E,SI1,3,5992
0.3,Very Good,3,G,VS2,5,526
1.39,Premium,4,E,SI2,2,7311
1.61,Ideal,5,G,VS2,5,13553
0.55,Good,2,H,SI1,3,1175
1.28,Very Good,3,I,VS1,4,6726
0.53,Ideal,5,D,VS2,5,1857
0.52,Very Good,3,G,VS1,4,1689
0.41,Ideal,5,H,IF,8,1243
0.38,Ideal,5,D,VS1,4,882
0.52,Ideal,5,G,VS1,4,1758
0.72,Very Good,3,H,VVS1,7,3610
1.09,Premium,4,F,SI1,3,5384
1.5,Ideal,5,G,VS1,4,13377
0.7,Good,2,D,VS2,5,3073
0.83,Good,2,J,SI1,3,2159
1.26,Good,2,G,SI1,3,6874
0.41,Ideal,5,G,VS2,5,1061
0.43,Ideal,5,G,SI1,3,795
2.29,Ideal,5,J,SI2,2,13726
1.23,Very Good,3,E,VS2,5,9193
0.9,Very Good,3,D,SI2,2,3371
0.91,Good,2,H,SI1,3,3855
1.01,Very Good,3,D,VVS1,7,11923
1.02,Ideal,5,D,VS1,4,7118
0.51,Ideal,5,D,SI2,2,1359
2.01,Fair,1,I,SI2,2,10671
0.73,Premium,4,F,SI1,3,2599
0.35,Premium,4,H,VS1,4,788
0.33,Ideal,5,E,VS2,5,928
2.01,Very Good,3,I,SI1,3,15145
1.7,Very Good,3,G,VVS2,6,17073
0.4,Very Good,3,E,VVS1,7,1333
0.73,Ideal,5,H,SI1,3,2605
0.33,Premium,4,D,VVS1,7,1129
0.32,Very Good,3,G,VS1,4,602
0.4,Premium,4,E,VS1,4,1053
1.05,Ideal,5,H,SI1,3,5200
0.31,Good,2,G,VVS1,7,816
0.3,Premium,4,H,VVS1,7,593
1.5,Very Good,3,G,VS2,5,12014
1.06,Ideal,5,G,SI2,2,4459
1.59,Ideal,5,J,VS2,5,8681
2.09,Good,2,F,SI2,2,18472
0.53,Ideal,5,H,VVS1,7,1781
1.51,Premium,4,I,VS1,4,9467
1.07,Very Good,3,G,VS2,5,6355
0.5,Premium,4,F,VS1,4,1710
1.54,Premium,4,H,VS2,5,10758
0.32,Ideal,5,G,VS2,5,561
0.3,Ideal,5,D,VS1,4,742
1.17,Premium,4,F,VS2,5,7568
0.31,Ideal,5,G,IF,8,891
0.25,Ideal,5,G,SI1,3,395
0.43,Ideal,5,D,VS2,5,1129
0.31,Ideal,5,F,IF,8,914
1.36,Premium,4,H,SI2,2,5103
1.0,Premium,4,D,SI2,2,5286
0.92,Good,2,I,VS1,4,3723
0.85,Ideal,5,E,VS2,5,3924
0.53,Ideal,5,E,VS2,5,1707
1.57,Premium,4,H,VVS2,6,12098
0.4,Ideal,5,G,VVS1,7,1043
0.36,Very Good,3,D,VS1,4,832
1.51,Premium,4,F,SI2,2,6393
2.05,Ideal,5,G,SI2,2,18017
0.41,Premium,4,G,VS2,5,1061
0.75,Premium,4,F,SI2,2,2501
0.91,Very Good,3,E,SI1,3,4191
0.52,Premium,4,G,VS1,4,1689
0.62,Ideal,5,F,VS1,4,2406
1.1,Ideal,5,D,VVS2,6,11550
0.71,Premium,4,E,SI1,3,2743
0.82,Ideal,5,E,SI1,3,3622
0.72,Ideal,5,I,VVS2,6,2340
0.54,Ideal,5,G,VVS2,6,2090
1.31,Premium,4,H,VS2,5,7459
1.11,Ideal,5,E,SI1,3,6737
0.33,Ideal,5,D,VS2,5,1002
1.21,Very Good,3,J,VS1,4,5604
0.32,Ideal,5,I,VS1,4,523
0.26,Very Good,3,H,VVS1,7,468
0.9,Ideal,5,E,SI2,2,4091
0.33,Ideal,5,E,SI1,3,579
0.3,Premium,4,H,VS2,5,608
0.7,Fair,1,H,SI1,3,1995
0.73,Very Good,3,H,SI1,3,2377
1.06,Ideal,5,H,SI2,2,4452
1.17,Ideal,5,F,SI1,3,5837
0.4,Fair,1,D,SI1,3,644
1.02,Ideal,5,G,SI1,3,5044
1.0,Fair,1,G,VS2,5,4435
1.19,Premium,4,G,VS2,5,7397
0.31,Premium,4,H,VS1,4,544
0.31,Ideal,5,H,VVS2,6,802
1.58,Very Good,3,F,VS2,5,14308
0.32,Ideal,5,H,VVS1,7,936
1.5,Fair,1,F,SI2,2,7644
0.33,Ideal,5,D,VS2,5,803
0.51,Good,2,E,VS2,5,1554
0.5,Good,2,D,SI2,2,925
1.15,Premium,4,H,VS2,5,5191
0.41,Premium,4,E,SI1,3,755
0.34,Ideal,5,G,SI1,3,540
1.06,Very Good,3,D,SI1,3,5713
1.21,Ideal,5,G,VVS2,6,9954
1.0,Good,2,D,SI2,2,4065
0.83,Ideal,5,H,SI2,2,1863
0.72,Ideal,5,F,SI2,2,2298
1.5,Ideal,5,J,SI1,3,6745
1.03,Ideal,5,G,VVS2,6,8385
0.52,Ideal,5,D,VS2,5,1919
1.54,Fair,1,I,SI2,2,6375
0.26,Premium,4,D,VS1,4,546
0.31,Premium,4,E,VS1,4,879
0.7,Good,2,G,VS2,5,2367
0.32,Ideal,5,G,VS1,4,828
0.5,Ideal,5,E,VS2,5,1624
0.35,Ideal,5,F,SI1,3,583
0.8,Ideal,5,G,VVS2,6,4740
0.53,Very Good,3,F,VVS2,6,1880
0.69,Premium,4,I,SI1,3,1636
1.06,Ideal,5,G,VS2,5,6667
1.01,Good,2,F,IF,8,9451
1.21,Premium,4,F,SI2,2,5746
1.01,Ideal,5,F,VS2,5,5662
2.04,Very Good,3,I,SI1,3,17323
1.01,Good,2,G,VVS2,6,7332
2.31,Premium,4,J,SI1,3,15323
0.51,Ideal,5,D,VS2,5,1787
0.52,Very Good,3,I,SI1,3,978
1.01,Good,2,D,VS1,4,7303
0.8,Premium,4,J,SI1,3,2227
1.08,Ideal,5,D,VS2,5,8481
0.71,Premium,4,H,SI1,3,2049
0.37,Very Good,3,E,SI2,2,493
1.03,Ideal,5,G,VS1,4,7648
1.01,Premium,4,F,VS2,5,5988
0.3,Ideal,5,E,VVS2,6,949
0.9,Fair,1,E,SI1,3,3508
1.17,Fair,1,I,SI2,2,3833
0.3,Very Good,3,E,SI1,3,526
1.01,Fair,1,G,SI2,2,3461
0.7,Ideal,5,E,SI1,3,2774
1.55,Premium,4,J,SI1,3,7638
0.81,Ideal,5,I,VS2,5,2444
0.32,Very Good,3,E,VVS1,7,917
0.41,Very Good,3,D,SI1,3,717
1.21,Premium,4,D,VVS2,6,14841
0.38,Ideal,5,G,SI1,3,969
0.72,Ideal,5,H,VS2,5,2548
0.93,Premium,4,E,I1,1,2647
0.92,Very Good,3,F,SI1,3,4037
0.92,Ideal,5,F,SI1,3,4232
0.42,Ideal,5,G,VVS2,6,1103
1.15,Very Good,3,E,SI2,2,5257
0.31,Ideal,5,D,VS2,5,734
0.51,Ideal,5,G,VS1,4,1656
0.47,Ideal,5,E,VS1,4,1400
0.32,Ideal,5,G,VS2,5,561
0.41,Premium,4,E,SI2,2,876
0.72,Ideal,5,F,VS2,5,2607
0.38,Very Good,3,G,VVS1,7,970
0.36,Ideal,5,I,IF,8,735
0.8,Ideal,5,D,SI2,2,3173
1.06,Premium,4,I,VS1,4,5550
1.21,Good,2,F,SI2,2,4669
0.43,Ideal,5,F,VVS2,6,1093
0.31,Ideal,5,I,VS2,5,452
1.08,Premium,4,J,SI1,3,4098
0.7,Very Good,3,H,VS1,4,2389
0.73,Ideal,5,E,SI2,2,2434
0.72,Premium,4,D,VVS2,6,3459
0.93,Ideal,5,H,VS2,5,4218
0.44,Premium,4,E,VS2,5,1073
1.64,Very Good,3,E,SI1,3,12779
0.37,Premium,4,H,VS2,5,749
0.4,Ideal,5,E,VS1,4,1125
0.32,Ideal,5,G,VVS2,6,708
1.01,Fair,1,F,VS1,4,6759
1.06,Premium,4,I,SI2,2,3847
0.9,Ideal,5,G,SI2,2,4032
1.01,Fair,1,G,VS2,5,5538
0.4,Ideal,5,G,VS1,4,877
0.31,Ideal,5,H,VS2,5,489
0.43,Good,2,F,SI1,3,984
0.35,Fair,1,D,VVS2,6,1011
0.74,Very Good,3,E,VVS2,6,3616
1.18,Ideal,5,H,SI2,2,5182
1.06,Premium,4,J,SI2,2,3391
0.3,Very Good,3,H,VS2,5,473
0.52,Ideal,5,G,VS2,5,1577
0.5,Very Good,3,E,SI1,3,1090
0.32,Ideal,5,E,VVS2,6,1080
1.02,Very Good,3,H,SI1,3,4476
1.25,Good,2,G,VS1,4,8901
0.91,Fair,1,D,I1,1,2491
0.79,Very Good,3,D,VS1,4,3798
0.3,Premium,4,G,VS1,4,605
0.23,Good,2,E,VS2,5,357
1.31,Premium,4,E,SI2,2,5176
1.19,Premium,4,H,SI1,3,6078
1.08,Good,2,E,SI2,2,4742
0.31,Ideal,5,G,IF,8,871
1.01,Good,2,G,VS2,5,5701
0.85,Ideal,5,G,SI1,3,3118
0.32,Ideal,5,D,SI1,3,589
0.51,Ideal,5,D,VS2,5,1633
0.74,Premium,4,E,VS1,4,3401
1.5,Ideal,5,G,VS2,5,13428
0.5,Very Good,3,H,VVS2,6,1569
0.32,Very Good,3,G,VVS2,6,730
0.31,Ideal,5,D,VS2,5,942
0.31,Very Good,3,I,VVS2,6,544
0.27,Very Good,3,E,VS1,4,470
1.54,Premium,4,G,SI1,3,11107
0.83,Ideal,5,F,VS1,4,4592
2.0,Very Good,3,J,SI2,2,12342
0.26,Ideal,5,H,IF,8,545
0.72,Very Good,3,G,VS1,4,2970
1.34,Ideal,5,J,VS1,4,6010
0.52,Very Good,3,D,SI1,3,1452
0.76,Ideal,5,D,SI1,3,3306
1.74,Very Good,3,F,VS2,5,18430
1.31,Premium,4,H,SI2,2,6089
0.71,Very Good,3,G,VS1,4,2494
0.5,Very Good,3,F,SI2,2,1125
0.55,Very Good,3,D,VS2,5,1796
0.71,Very Good,3,H,VVS2,6,2594
1.5,Good,2,H,SI2,2,5208
1.35,Fair,1,I,SI2,2,4423
0.3,Ideal,5,G,VVS1,7,764
1.34,Premium,4,D,SI2,2,7438
1.29,Fair,1,G,I1,1,4277
0.71,Very Good,3,I,VS2,5,2052
0.3,Premium,4,I,VVS2,6,675
1.21,Very Good,3,G,SI1,3,4637
0.61,Good,2,F,VS1,4,2076
0.76,Ideal,5,G,VS2,5,3183
1.51,Ideal,5,G,VVS2,6,14750
0.44,Ideal,5,D,SI1,3,883
1.5,Premium,4,H,VS1,4,11088
0.71,Ideal,5,D,VS2,5,3217
1.88,Very Good,3,D,SI2,2,9791
0.41,Ideal,5,G,IF,8,1259
0.51,Ideal,5,G,SI2,2,1121
0.32,Ideal,5,G,VVS2,6,730
1.22,Very Good,3,E,VS2,5,9475
0.38,Very Good,3,F,SI2,2,585
1.0,Good,2,E,SI2,2,4265
0.38,Ideal,5,G,SI1,3,639
2.02,Ideal,5,F,SI2,2,13453
0.56,Ideal,5,D,VS2,5,2066
0.42,Ideal,5,D,VVS2,6,1210
1.04,Premium,4,G,VS2,5,6122
0.7,Ideal,5,G,VS2,5,2536
1.01,Good,2,F,SI1,3,5378
0.53,Ideal,5,E,SI2,2,1262
2.01,Premium,4,H,SI1,3,16733
0.56,Ideal,5,F,VS1,4,1915
0.31,Ideal,5,E,VVS1,7,749
0.7,Good,2,E,SI2,2,2192
0.44,Very Good,3,D,SI1,3,849
1.04,Premium,4,F,VS2,5,6278
0.5,Ideal,5,G,VVS2,6,1766
0.51,Ideal,5,H,SI1,3,1354
1.73,Ideal,5,I,VS1,4,13250
0.31,Good,2,G,IF,8,924
1.01,Ideal,5,G,SI1,3,5497
1.02,Good,2,D,SI2,2,3842
0.72,Ideal,5,H,VS2,5,3122
1.02,Good,2,E,SI2,2,4414
0.37,Premium,4,F,VS2,5,957
1.28,Premium,4,I,VS2,5,6762
0.3,Very Good,3,E,VS2,5,658
0.51,Premium,4,D,SI1,3,1574
0.63,Ideal,5,D,VS2,5,2373
1.06,Ideal,5,H,VVS1,7,7193
0.33,Ideal,5,J,VS1,4,456
0.9,Good,2,F,VS1,4,3750
0.72,Ideal,5,F,SI2,2,2359
0.32,Ideal,5,E,VS2,5,702
1.2,Premium,4,F,SI1,3,6435
1.15,Premium,4,H,SI2,2,3735
0.71,Ideal,5,H,IF,8,3290
0.41,Ideal,5,F,VS1,4,1076
1.13,Premium,4,G,VVS1,7,8709
0.92,Ideal,5,J,VS1,4,3489
0.3,Premium,4,D,VS2,5,911
0.7,Good,2,I,SI1,3,2142
0.71,Ideal,5,E,VS2,5,2891
0.45,Good,2,F,VS2,5,1066
1.02,Premium,4,I,SI2,2,4061
0.7,Premium,4,E,SI1,3,2444
0.24,Very Good,3,F,VVS2,6,492
0.51,Ideal,5,G,VS1,4,1852
0.7,Ideal,5,F,VS1,4,3359
0.31,Ideal,5,E,IF,8,1214
0.78,Premium,4,F,VS2,5,2874
1.23,Premium,4,G,SI2,2,4408
1.04,Very Good,3,G,SI2,2,4375
1.03,Ideal,5,G,VS1,4,7391
0.7,Ideal,5,F,SI1,3,2515
0.35,Ideal,5,F,VS2,5,906
0.51,Ideal,5,D,VS1,4,1752
0.32,Ideal,5,F,IF,8,915
0.75,Good,2,D,SI1,3,3024
1.19,Ideal,5,E,SI1,3,7037
1.38,Ideal,5,I,SI2,2,5796
0.7,Very Good,3,F,VS2,5,2437
0.39,Ideal,5,F,VS1,4,939
0.32,Ideal,5,E,VS2,5,702
0.5,Ideal,5,I,SI1,3,982
1.15,Ideal,5,E,VVS1,7,12447
0.91,Premium,4,D,SI1,3,4816
1.02,Very Good,3,G,VS2,5,6432
0.31,Premium,4,F,VS2,5,625
0.28,Premium,4,E,VVS2,6,828
1.0,Good,2,H,SI2,2,3991
0.41,Good,2,J,VS1,4,830
1.59,Very Good,3,G,SI2,2,9094
0.73,Premium,4,J,SI1,3,1905
1.03,Ideal,5,G,VS2,5,6645
0.82,Premium,4,H,VS1,4,3008
0.5,Very Good,3,E,VS1,4,1801
1.01,Ideal,5,I,SI1,3,3999
1.02,Ideal,5,J,SI2,2,2611
0.38,Very Good,3,E,SI2,2,590
1.51,Very Good,3,H,VS2,5,10090
0.5,Ideal,5,G,VS1,4,1624
0.51,Ideal,5,D,VS2,5,1767
1.2,Very Good,3,G,VVS1,7,8928
1.2,Premium,4,H,VS1,4,6727
0.31,Ideal,5,E,VVS2,6,791
1.09,Premium,4,I,SI1,3,3662
1.2,Ideal,5,I,VVS2,6,6581
0.41,Good,2,G,VS1,4,847
0.39,Premium,4,D,VVS2,6,1232
0.32,Ideal,5,G,SI1,3,477
1.21,Premium,4,G,VS2,5,8402
0.32,Premium,4,I,VS1,4,648
0.3,Premium,4,G,VS1,4,776
1.45,Fair,1,F,SI2,2,6455
1.12,Premium,4,H,SI1,3,4572
0.51,Ideal,5,H,VVS2,6,1669
0.31,Ideal,5,D,VS1,4,766
1.77,Premium,4,G,SI2,2,9664
1.56,Premium,4,F,SI1,3,11901
1.04,Ideal,5,F,SI1,3,5882
0.4,Ideal,5,G,VS2,5,792
0.3,Ideal,5,I,SI1,3,394
0.55,Very Good,3,F,SI1,3,1449
1.29,Very Good,3,D,VVS1,7,17932
0.28,Very Good,3,H,VVS1,7,504
0.57,Ideal,5,H,VS1,4,1800
1.51,Very Good,3,I,SI2,2,7400
0.55,Premium,4,J,SI1,3,1348
0.3,Very Good,3,D,SI1,3,709
1.2,Very Good,3,E,SI1,3,6703
0.7,Ideal,5,F,SI1,3,2528
1.03,Ideal,5,D,SI2,2,4839
1.0,Fair,1,D,SI1,3,4704
0.27,Ideal,5,D,VS2,5,470
0.53,Ideal,5,I,SI2,2,973
0.34,Ideal,5,G,VS2,5,663
1.21,Ideal,5,I,VVS2,6,7002
0.34,Ideal,5,D,SI1,3,596
0.32,Ideal,5,G,SI1,3,612
1.4,Ideal,5,G,VVS1,7,15134
0.5,Ideal,5,D,VS2,5,1712
0.58,Premium,4,G,VS1,4,2071
0.31,Ideal,5,D,VS2,5,879
0.38,Premium,4,D,SI1,3,635
0.7,Premium,4,H,SI2,2,1808
1.27,Premium,4,H,VS2,5,7849
0.35,Good,2,F,SI2,2,591
0.3,Premium,4,D,VS1,4,848
0.59,Ideal,5,E,SI1,3,1789
0.41,Premium,4,E,VVS2,6,1243
0.5,Very Good,3,G,SI1,3,1214
0.72,Very Good,3,G,SI2,2,2114
1.01,Premium,4,I,SI1,3,4166
0.31,Premium,4,H,SI1,3,435
0.5,Very Good,3,G,VVS2,6,1723
1.0,Premium,4,H,SI1,3,4788
0.41,Ideal,5,F,VVS1,7,1295
0.46,Ideal,5,G,SI1,3,990
0.9,Ideal,5,E,SI1,3,4921
1.17,Ideal,5,G,VS1,4,7155
0.71,Very Good,3,F,SI2,2,2326
0.5,Very Good,3,E,VS2,5,1629
1.02,Very Good,3,I,SI1,3,3927
0.71,Fair,1,I,VS1,4,2318
0.38,Very Good,3,H,VS2,5,871
0.34,Premium,4,E,VS2,5,956
0.9,Good,2,E,SI2,2,2982
1.62,Premium,4,F,VS2,5,14826
1.08,Ideal,5,H,VVS1,7,6961
1.47,Very Good,3,H,SI2,2,7438
0.71,Good,2,E,SI2,2,1816
1.02,Very Good,3,F,SI1,3,5398
0.41,Ideal,5,F,VS2,5,863
1.0,Premium,4,F,VS1,4,7056
0.7,Very Good,3,D,SI1,3,2656
0.43,Premium,4,E,SI2,2,919
1.9,Very Good,3,J,SI1,3,9540
1.04,Ideal,5,F,SI1,3,5495
0.42,Ideal,5,E,VVS1,7,1400
0.32,Premium,4,F,SI2,2,421
1.2,Good,2,H,VS2,5,6468
0.72,Ideal,5,D,VS1,4,4047
0.65,Premium,4,E,SI1,3,1708
0.91,Premium,4,E,SI1,3,3911
1.5,Ideal,5,E,SI1,3,11385
0.75,Ideal,5,F,SI2,2,2586
1.03,Ideal,5,H,VS2,5,5364
0.43,Ideal,5,I,IF,8,1056
1.52,Very Good,3,J,VS2,5,7504
0.7,Good,2,D,VS1,4,3001
1.69,Good,2,E,VS1,4,17400
1.2,Premium,4,E,VVS2,6,11301
0.33,Premium,4,G,VVS2,6,752
1.01,Very Good,3,G,VS1,4,6777
1.0,Very Good,3,I,SI1,3,4032
0.33,Very Good,3,H,VVS2,6,614
0.51,Premium,4,F,VVS2,6,2310
0.34,Premium,4,G,SI1,3,650
1.5,Very Good,3,E,SI1,3,11533
0.72,Fair,1,E,SI1,3,2498
1.96,Fair,1,F,I1,1,5554
1.59,Premium,4,H,VS2,5,11437
1.01,Good,2,I,VS2,5,4239
0.89,Good,2,E,SI2,2,2728
1.05,Good,2,D,SI2,2,4560
0.6,Ideal,5,D,VVS1,7,3570
1.17,Very Good,3,H,SI2,2,4826
0.4,Premium,4,E,VS1,4,1053
0.54,Very Good,3,G,VS1,4,1563
1.01,Good,2,G,SI1,3,4588
1.23,Premium,4,G,VS1,4,8293
0.34,Very Good,3,E,VS2,5,745
1.0,Fair,1,I,VS2,5,3265
0.32,Ideal,5,G,VVS1,7,814
0.72,Ideal,5,E,SI1,3,2416
0.41,Very Good,3,G,VS2,5,827
0.52,Premium,4,G,SI2,2,1235
1.03,Premium,4,F,SI2,2,4586
